"X" "y" "LF" "species"
"Prunus_avium" "no" "yes" "tree" "Prunus_avium"
"Prunus_mahaleb" "no" "yes" "tree" "Prunus_mahaleb"
"Prunus_padus" "yes" "yes" "tree" "Prunus_padus"
"Ulmus_pumila" "no" "no" "tree" "Ulmus_pumila"
"Ulmus_rubra" "no" "no" "tree" "Ulmus_rubra"
"Ulmus_americana" "no" "no" "tree" "Ulmus_americana"
"Ziziphus_spina-christi" "no" "yes" "tree" "Ziziphus_spina-christi"
"Discaria_chacaye" "no" "no" "tree" "Discaria_chacaye"
"Discaria_toumatou" "no" "yes" "shrub" "Discaria_toumatou"
"Frangula_alnus" "yes" "yes" "tree" "Frangula_alnus"
"Datisca_glomerata" "no" "no" "herb" "Datisca_glomerata"
"Symphonia_globulifera" "no" "no" "tree" "Symphonia_globulifera"
"Kielmeyera_coriacea" "no" "yes" "tree" "Kielmeyera_coriacea"
"Byrsonima_pachyphylla" "no" "yes" "tree" "Byrsonima_pachyphylla"
"Byrsonima_crassifolia" "no" "yes" "tree" "Byrsonima_crassifolia"
"Passiflora_alata" "no" "yes" "shrub" "Passiflora_alata"
"Passiflora_edulis" "no" "yes" "shrub" "Passiflora_edulis"
"Passiflora_vitifolia" "no" "no" "shrub" "Passiflora_vitifolia"
"Passiflora_caerulea" "no" "yes" "shrub" "Passiflora_caerulea"
"Passiflora_mucronata" "no" "no" "shrub" "Passiflora_mucronata"
"Viola_riviniana" "no" "yes" "herb" "Viola_riviniana"
"Hybanthus_prunifolius" "no" "yes" "shrub" "Hybanthus_prunifolius"
"Manihot_violacea" "yes" "yes" "shrub" "Manihot_violacea"
"Linum_sulcatum" "no" "yes" "herb" "Linum_sulcatum"
"Linum_usitatissimum" "no" "no" "herb" "Linum_usitatissimum"
"Ouratea_hexasperma" "no" "yes" "tree" "Ouratea_hexasperma"
"Elaeocarpus_serratus" "no" "yes" "tree" "Elaeocarpus_serratus"
"Streptanthus_tortuosus" "yes" "yes" "herb" "Streptanthus_tortuosus"
"Subularia_aquatica" "no" "no" "herb" "Subularia_aquatica"
"Brassica_oleracea" "no" "yes" "herb" "Brassica_oleracea"
"Brassica_rapa" "no" "yes" "herb" "Brassica_rapa"
"Raphanus_raphanistrum" "no" "yes" "herb" "Raphanus_raphanistrum"
"Myagrum_perfoliatum" "no" "yes" "herb" "Myagrum_perfoliatum"
"Alliaria_petiolata" "no" "no" "herb" "Alliaria_petiolata"
"Thlaspi_arvense" "no" "yes" "herb" "Thlaspi_arvense"
"Thlaspi_alpestre" "no" "yes" "herb" "Thlaspi_alpestre"
"Iberis_amara" "no" "yes" "herb" "Iberis_amara"
"Teesdalia_nudicaulis" "no" "no" "herb" "Teesdalia_nudicaulis"
"Cochlearia_danica" "no" "no" "herb" "Cochlearia_danica"
"Draba_incana" "no" "no" "herb" "Draba_incana"
"Draba_crassifolia" "no" "no" "herb" "Draba_crassifolia"
"Erophila_verna" "no" "no" "herb" "Erophila_verna"
"Arabis_hirsuta" "yes" "yes" "herb" "Arabis_hirsuta"
"Arabis_alpina" "no" "no" "herb" "Arabis_alpina"
"Arabis_turrita" "no" "no" "herb" "Arabis_turrita"
"Erysimum_cheiri" "no" "yes" "herb" "Erysimum_cheiri"
"Capsella_bursa-pastoris" "no" "no" "herb" "Capsella_bursa-pastoris"
"Neslia_paniculata" "no" "no" "herb" "Neslia_paniculata"
"Turritis_glabra" "no" "no" "herb" "Turritis_glabra"
"Cardamine_hirsuta" "no" "no" "herb" "Cardamine_hirsuta"
"Cardamine_bellidifolia" "no" "no" "herb" "Cardamine_bellidifolia"
"Nasturtium_officinale" "no" "yes" "herb" "Nasturtium_officinale"
"Rorippa_sylvestris" "no" "yes" "herb" "Rorippa_sylvestris"
"Lepidium_ruderale" "no" "no" "herb" "Lepidium_ruderale"
"Lepidium_densiflorum" "no" "no" "herb" "Lepidium_densiflorum"
"Lepidium_coronopus" "no" "no" "herb" "Lepidium_coronopus"
"Hornungia_petraea" "no" "no" "herb" "Hornungia_petraea"
"Atamisquea_emarginata" "no" "yes" "tree" "Atamisquea_emarginata"
"Floerkea_proserpinacoides" "no" "no" "herb" "Floerkea_proserpinacoides"
"Limnanthes_alba" "no" "yes" "herb" "Limnanthes_alba"
"Limnanthes_douglasii" "no" "yes" "herb" "Limnanthes_douglasii"
"Malva_neglecta" "yes" "yes" "herb" "Malva_neglecta"
"Malva_pusilla" "yes" "yes" "herb" "Malva_pusilla"
"Sidalcea_oregana" "yes" "yes" "herb" "Sidalcea_oregana"
"Malvastrum_coromandelianum" "no" "no" "herb" "Malvastrum_coromandelianum"
"Malvastrum_amblyphyllum" "no" "no" "herb" "Malvastrum_amblyphyllum"
"Malvastrum_corchorifolium" "no" "no" "herb" "Malvastrum_corchorifolium"
"Hibiscus_moscheutos" "no" "yes" "herb" "Hibiscus_moscheutos"
"Pavonia_bahamensis" "no" "no" "shrub" "Pavonia_bahamensis"
"Eriotheca_gracilipes" "yes" "yes" "tree" "Eriotheca_gracilipes"
"Pachira_aquatica" "yes" "yes" "tree" "Pachira_aquatica"
"Pachira_quinata" "no" "no" "tree" "Pachira_quinata"
"Ceiba_aesculifolia" "no" "no" "tree" "Ceiba_aesculifolia"
"Tilia_cordata" "no" "yes" "tree" "Tilia_cordata"
"Helicteres_brevispira" "no" "yes" "shrub" "Helicteres_brevispira"
"Helicteres_sacarolha" "yes" "yes" "shrub" "Helicteres_sacarolha"
"Melochia_tomentosa" "no" "yes" "shrub" "Melochia_tomentosa"
"Muntingia_calabura" "no" "yes" "tree" "Muntingia_calabura"
"Pentacme_siamensis" "yes" "yes" "tree" "Pentacme_siamensis"
"Aesculus_californica" "no" "no" "tree" "Aesculus_californica"
"Urvillea_ulmacea" "no" "yes" "shrub" "Urvillea_ulmacea"
"Mangifera_indica" "no" "yes" "tree" "Mangifera_indica"
"Anacardium_occidentale" "no" "yes" "tree" "Anacardium_occidentale"
"Anacardium_excelsum" "no" "yes" "tree" "Anacardium_excelsum"
"Spondias_mombin" "no" "yes" "tree" "Spondias_mombin"
"Staphylea_trifolia" "yes" "yes" "shrub" "Staphylea_trifolia"
"Miconia_albicans" "no" "yes" "shrub" "Miconia_albicans"
"Miconia_ibaguensis" "no" "yes" "shrub" "Miconia_ibaguensis"
"Miconia_alata" "no" "yes" "shrub" "Miconia_alata"
"Miconia_aplostachya" "no" "yes" "shrub" "Miconia_aplostachya"
"Miconia_ciliata" "no" "yes" "herb" "Miconia_ciliata"
"Monochaetum_amabile" "no" "yes" "shrub" "Monochaetum_amabile"
"Monochaetum_floribundum" "no" "yes" "shrub" "Monochaetum_floribundum"
"Monochaetum_vulcanicum" "no" "yes" "shrub" "Monochaetum_vulcanicum"
"Rhexia_virginica" "no" "yes" "herb" "Rhexia_virginica"
"Eucalyptus_camaldulensis" "no" "yes" "tree" "Eucalyptus_camaldulensis"
"Darwinia_taxifolia" "no" "no" "shrub" "Darwinia_taxifolia"
"Darwinia_leptantha" "no" "no" "shrub" "Darwinia_leptantha"
"Darwinia_biflora" "no" "no" "herb" "Darwinia_biflora"
"Darwinia_camptostylis" "yes" "no" "shrub" "Darwinia_camptostylis"
"Darwinia_diminuta" "no" "no" "herb" "Darwinia_diminuta"
"Blepharocalyx_salicifolius" "no" "yes" "tree" "Blepharocalyx_salicifolius"
"Psidium_guajava" "no" "yes" "tree" "Psidium_guajava"
"Callistemon_citrinus" "no" "yes" "tree" "Callistemon_citrinus"
"Vochysia_rufa" "no" "yes" "tree" "Vochysia_rufa"
"Qualea_multiflora" "no" "yes" "tree" "Qualea_multiflora"
"Oenothera_biennis" "yes" "yes" "herb" "Oenothera_biennis"
"Oenothera_macrocarpa" "no" "no" "herb" "Oenothera_macrocarpa"
"Clarkia_rhomboidea" "no" "no" "herb" "Clarkia_rhomboidea"
"Clarkia_lassenensis" "no" "no" "herb" "Clarkia_lassenensis"
"Clarkia_modesta" "no" "no" "herb" "Clarkia_modesta"
"Clarkia_unguiculata" "yes" "yes" "herb" "Clarkia_unguiculata"
"Clarkia_affinis" "no" "no" "herb" "Clarkia_affinis"
"Clarkia_amoena" "no" "yes" "herb" "Clarkia_amoena"
"Clarkia_biloba" "yes" "yes" "herb" "Clarkia_biloba"
"Clarkia_breweri" "no" "yes" "herb" "Clarkia_breweri"
"Clarkia_concinna" "yes" "yes" "herb" "Clarkia_concinna"
"Clarkia_pulchella" "yes" "yes" "herb" "Clarkia_pulchella"
"Clarkia_rubicunda" "yes" "yes" "herb" "Clarkia_rubicunda"
"Clarkia_speciosa" "no" "yes" "herb" "Clarkia_speciosa"
"Clarkia_williamsonii" "yes" "yes" "herb" "Clarkia_williamsonii"
"Clarkia_xantiana" "yes" "yes" "herb" "Clarkia_xantiana"
"Clarkia_epilobioides" "no" "no" "herb" "Clarkia_epilobioides"
"Epilobium_tetragonum" "no" "no" "herb" "Epilobium_tetragonum"
"Epilobium_obscurum" "no" "no" "herb" "Epilobium_obscurum"
"Epilobium_roseum" "no" "no" "herb" "Epilobium_roseum"
"Epilobium_montanum" "no" "no" "herb" "Epilobium_montanum"
"Epilobium_obcordatum" "yes" "yes" "herb" "Epilobium_obcordatum"
"Epilobium_angustifolium" "yes" "yes" "herb" "Epilobium_angustifolium"
"Lopezia_ciliatula" "no" "no" "herb" "Lopezia_ciliatula"
"Fuchsia_microphylla" "no" "yes" "shrub" "Fuchsia_microphylla"
"Fuchsia_colensoi" "no" "no" "shrub" "Fuchsia_colensoi"
"Circaea_lutetiana" "yes" "yes" "herb" "Circaea_lutetiana"
"Circaea_cordata" "no" "yes" "herb" "Circaea_cordata"
"Circaea_erubescens" "no" "yes" "herb" "Circaea_erubescens"
"Circaea_mollis" "no" "yes" "herb" "Circaea_mollis"
"Ludwigia_nervosa" "no" "yes" "herb" "Ludwigia_nervosa"
"Lythrum_salicaria" "no" "yes" "herb" "Lythrum_salicaria"
"Geranium_dissectum" "no" "no" "herb" "Geranium_dissectum"
"Geranium_rotundifolium" "no" "no" "herb" "Geranium_rotundifolium"
"Geranium_pyrenaicum" "yes" "yes" "herb" "Geranium_pyrenaicum"
"Geranium_pusillum" "no" "no" "herb" "Geranium_pusillum"
"Erodium_cicutarium" "no" "yes" "herb" "Erodium_cicutarium"
"Echeveria_gibbiflora" "no" "no" "herb" "Echeveria_gibbiflora"
"Umbilicus_rupestris" "yes" "no" "herb" "Umbilicus_rupestris"
"Haloragis_masatierrana" "yes" "no" "shrub" "Haloragis_masatierrana"
"Saxifraga_granulata" "no" "yes" "herb" "Saxifraga_granulata"
"Saxifraga_oppositifolia" "no" "no" "herb" "Saxifraga_oppositifolia"
"Saxifraga_cernua" "no" "yes" "herb" "Saxifraga_cernua"
"Saxifraga_hirculus" "no" "yes" "herb" "Saxifraga_hirculus"
"Saxifraga_tricuspidata" "no" "yes" "herb" "Saxifraga_tricuspidata"
"Ribes_sanguineum" "yes" "yes" "shrub" "Ribes_sanguineum"
"Ribes_nigrum" "yes" "yes" "shrub" "Ribes_nigrum"
"Ribes_uva-crispa" "yes" "yes" "shrub" "Ribes_uva-crispa"
"Banksia_prionotes" "yes" "no" "tree" "Banksia_prionotes"
"Banksia_goodii" "yes" "no" "shrub" "Banksia_goodii"
"Macadamia_integrifolia" "no" "yes" "tree" "Macadamia_integrifolia"
"Telopea_speciosissima" "yes" "no" "shrub" "Telopea_speciosissima"
"Embothrium_coccineum" "no" "no" "tree" "Embothrium_coccineum"
"Ranunculus_arvensis" "no" "yes" "herb" "Ranunculus_arvensis"
"Ranunculus_sceleratus" "no" "yes" "herb" "Ranunculus_sceleratus"
"Hepatica_nobilis" "no" "yes" "herb" "Hepatica_nobilis"
"Helleborus_foetidus" "yes" "yes" "herb" "Helleborus_foetidus"
"Trollius_europaeus" "no" "no" "herb" "Trollius_europaeus"
"Adonis_annua" "no" "yes" "herb" "Adonis_annua"
"Caltha_palustris" "no" "yes" "herb" "Caltha_palustris"
"Actaea_rubra" "no" "no" "herb" "Actaea_rubra"
"Actaea_spicata" "no" "no" "herb" "Actaea_spicata"
"Actaea_cordifolia" "no" "yes" "herb" "Actaea_cordifolia"
"Actaea_elata" "no" "yes" "herb" "Actaea_elata"
"Delphinium_recurvatum" "yes" "yes" "herb" "Delphinium_recurvatum"
"Delphinium_gypsophilum" "yes" "yes" "herb" "Delphinium_gypsophilum"
"Delphinium_parryi" "yes" "yes" "herb" "Delphinium_parryi"
"Delphinium_parishii" "yes" "yes" "herb" "Delphinium_parishii"
"Delphinium_hesperium" "yes" "yes" "herb" "Delphinium_hesperium"
"Delphinium_bicolor" "yes" "yes" "herb" "Delphinium_bicolor"
"Delphinium_hansenii" "yes" "yes" "herb" "Delphinium_hansenii"
"Delphinium_barbeyi" "yes" "yes" "herb" "Delphinium_barbeyi"
"Delphinium_tricorne" "yes" "yes" "herb" "Delphinium_tricorne"
"Delphinium_carolinianum" "yes" "yes" "herb" "Delphinium_carolinianum"
"Delphinium_elatum" "yes" "yes" "herb" "Delphinium_elatum"
"Aconitum_columbianum" "yes" "yes" "herb" "Aconitum_columbianum"
"Aconitum_anthora" "yes" "yes" "herb" "Aconitum_anthora"
"Nigella_arvensis" "no" "yes" "herb" "Nigella_arvensis"
"Thalictrum_minus" "no" "no" "herb" "Thalictrum_minus"
"Enemion_biternatum" "yes" "yes" "herb" "Enemion_biternatum"
"Papaver_alpinum" "no" "yes" "herb" "Papaver_alpinum"
"Papaver_rhoeas" "no" "yes" "herb" "Papaver_rhoeas"
"Papaver_argemone" "no" "no" "herb" "Papaver_argemone"
"Chelidonium_majus" "no" "yes" "shrub" "Chelidonium_majus"
"Eomecon_chionantha" "no" "yes" "herb" "Eomecon_chionantha"
"Fumaria_officinalis" "no" "yes" "herb" "Fumaria_officinalis"
"Ceratocapnos_claviculata" "no" "yes" "herb" "Ceratocapnos_claviculata"
"Corydalis_cava" "no" "yes" "herb" "Corydalis_cava"
"Notylia_nemorosa" "no" "yes" "herb" "Notylia_nemorosa"
"Trichocentrum_pumilum" "no" "yes" "herb" "Trichocentrum_pumilum"
"Trichocentrum_ascendens" "no" "yes" "herb" "Trichocentrum_ascendens"
"Eulophia_alta" "no" "yes" "herb" "Eulophia_alta"
"Phaius_delavayi" "no" "yes" "herb" "Phaius_delavayi"
"Dendrobium_speciosum" "no" "yes" "herb" "Dendrobium_speciosum"
"Coelogyne_rigida" "no" "yes" "herb" "Coelogyne_rigida"
"Neottia_cordata" "yes" "yes" "herb" "Neottia_cordata"
"Ponerorchis_chusua" "no" "yes" "herb" "Ponerorchis_chusua"
"Spiranthes_vernalis" "yes" "yes" "herb" "Spiranthes_vernalis"
"Spiranthes_lacera" "yes" "yes" "herb" "Spiranthes_lacera"
"Spiranthes_tuberosa" "yes" "yes" "herb" "Spiranthes_tuberosa"
"Spiranthes_cernua" "yes" "yes" "herb" "Spiranthes_cernua"
"Spiranthes_magnicamporum" "yes" "yes" "herb" "Spiranthes_magnicamporum"
"Spiranthes_ochroleuca" "yes" "yes" "herb" "Spiranthes_ochroleuca"
"Spiranthes_romanzoffiana" "yes" "yes" "herb" "Spiranthes_romanzoffiana"
"Spiranthes_lucida" "yes" "yes" "herb" "Spiranthes_lucida"
"Goodyera_tesselata" "yes" "yes" "herb" "Goodyera_tesselata"
"Goodyera_repens" "yes" "yes" "herb" "Goodyera_repens"
"Isotria_medeoloides" "no" "yes" "herb" "Isotria_medeoloides"
"Polygonatum_multiflorum" "no" "yes" "herb" "Polygonatum_multiflorum"
"Polygonatum_verticillatum" "no" "yes" "herb" "Polygonatum_verticillatum"
"Maianthemum_canadense" "no" "yes" "herb" "Maianthemum_canadense"
"Chlorogalum_pomeridianum" "no" "yes" "herb" "Chlorogalum_pomeridianum"
"Ornithogalum_umbellatum" "no" "yes" "herb" "Ornithogalum_umbellatum"
"Ornithogalum_thyrsoides" "no" "yes" "herb" "Ornithogalum_thyrsoides"
"Muscari_racemosum" "no" "yes" "herb" "Muscari_racemosum"
"Scilla_siberica" "no" "yes" "herb" "Scilla_siberica"
"Hyacinthus_orientalis" "no" "yes" "herb" "Hyacinthus_orientalis"
"Allium_cepa" "no" "yes" "herb" "Allium_cepa"
"Allium_ursinum" "no" "yes" "herb" "Allium_ursinum"
"Cyrtanthus_breviflorus" "no" "yes" "herb" "Cyrtanthus_breviflorus"
"Aloe_pluridens" "yes" "yes" "herb" "Aloe_pluridens"
"Aloe_boylei" "no" "yes" "herb" "Aloe_boylei"
"Aloe_lineata" "yes" "yes" "herb" "Aloe_lineata"
"Kniphofia_linearifolia" "yes" "yes" "herb" "Kniphofia_linearifolia"
"Trachyandra_hirsuta" "no" "yes" "herb" "Trachyandra_hirsuta"
"Asphodelus_ramosus" "no" "yes" "herb" "Asphodelus_ramosus"
"Dianella_revoluta" "no" "yes" "herb" "Dianella_revoluta"
"Phormium_tenax" "yes" "no" "herb" "Phormium_tenax"
"Panicum_repens" "no" "no" "herb" "Panicum_repens"
"Panicum_miliaceum" "no" "no" "herb" "Panicum_miliaceum"
"Eriochloa_procera" "no" "no" "herb" "Eriochloa_procera"
"Brachiaria_deflexa" "no" "no" "herb" "Brachiaria_deflexa"
"Melinis_repens" "no" "no" "herb" "Melinis_repens"
"Pennisetum_glaucum" "no" "no" "herb" "Pennisetum_glaucum"
"Paspalidium_flavidum" "no" "no" "herb" "Paspalidium_flavidum"
"Panicum_antidotale" "no" "no" "herb" "Panicum_antidotale"
"Echinochloa_crus-galli" "no" "no" "herb" "Echinochloa_crus-galli"
"Echinochloa_stagnina" "no" "no" "herb" "Echinochloa_stagnina"
"Echinochloa_colona" "no" "no" "herb" "Echinochloa_colona"
"Oplismenus_burmannii" "no" "no" "herb" "Oplismenus_burmannii"
"Digitaria_longiflora" "no" "no" "herb" "Digitaria_longiflora"
"Digitaria_ciliaris" "no" "no" "herb" "Digitaria_ciliaris"
"Dichanthium_annulatum" "no" "no" "herb" "Dichanthium_annulatum"
"Iseilema_laxum" "no" "no" "herb" "Iseilema_laxum"
"Saccharum_spontaneum" "no" "no" "herb" "Saccharum_spontaneum"
"Imperata_cylindrica" "no" "no" "herb" "Imperata_cylindrica"
"Chrysopogon_aciculatus" "no" "no" "herb" "Chrysopogon_aciculatus"
"Chrysopogon_zizanioides" "no" "no" "herb" "Chrysopogon_zizanioides"
"Chionachne_koenigii" "no" "no" "herb" "Chionachne_koenigii"
"Paspalum_scrobiculatum" "no" "no" "herb" "Paspalum_scrobiculatum"
"Spartina_anglica" "no" "no" "herb" "Spartina_anglica"
"Cynodon_dactylon" "no" "no" "herb" "Cynodon_dactylon"
"Chloris_filiformis" "no" "no" "herb" "Chloris_filiformis"
"Leptochloa_chinensis" "no" "no" "herb" "Leptochloa_chinensis"
"Chloris_gayana" "no" "no" "herb" "Chloris_gayana"
"Chloris_barbata" "no" "no" "herb" "Chloris_barbata"
"Eleusine_indica" "no" "no" "herb" "Eleusine_indica"
"Dactyloctenium_scindicum" "no" "no" "herb" "Dactyloctenium_scindicum"
"Dactyloctenium_aegyptium" "no" "no" "herb" "Dactyloctenium_aegyptium"
"Sporobolus_virginicus" "no" "no" "herb" "Sporobolus_virginicus"
"Eragrostis_riparia" "no" "no" "herb" "Eragrostis_riparia"
"Eragrostis_amabilis" "no" "no" "herb" "Eragrostis_amabilis"
"Holcus_lanatus" "no" "no" "herb" "Holcus_lanatus"
"Anthoxanthum_odoratum" "no" "no" "herb" "Anthoxanthum_odoratum"
"Arrhenatherum_elatius" "no" "no" "herb" "Arrhenatherum_elatius"
"Olyra_latifolia" "no" "no" "herb" "Olyra_latifolia"
"Pariana_ulei" "no" "yes" "herb" "Pariana_ulei"
"Oryza_sativa" "yes" "no" "herb" "Oryza_sativa"
"Leersia_hexandra" "yes" "no" "herb" "Leersia_hexandra"
"Scleria_latifolia" "no" "no" "herb" "Scleria_latifolia"
"Juncus_capitatus" "yes" "no" "herb" "Juncus_capitatus"
"Aechmea_lasseri" "no" "no" "herb" "Aechmea_lasseri"
"Pitcairnia_angustifolia" "no" "yes" "herb" "Pitcairnia_angustifolia"
"Pitcairnia_altensteinii" "no" "no" "herb" "Pitcairnia_altensteinii"
"Tillandsia_ixioides" "no" "no" "herb" "Tillandsia_ixioides"
"Vriesea_platynema" "no" "no" "herb" "Vriesea_platynema"
"Boesenbergia_longiflora" "no" "yes" "herb" "Boesenbergia_longiflora"
"Renealmia_nicolaioides" "no" "no" "herb" "Renealmia_nicolaioides"
"Costus_spiralis" "no" "no" "herb" "Costus_spiralis"
"Calathea_timothei" "no" "no" "herb" "Calathea_timothei"
"Stromanthe_tonckat" "no" "no" "shrub" "Stromanthe_tonckat"
"Heliconia_acuminata" "no" "no" "herb" "Heliconia_acuminata"
"Heliconia_latispatha" "no" "no" "herb" "Heliconia_latispatha"
"Eichhornia_azurea" "no" "yes" "herb" "Eichhornia_azurea"
"Tradescantia_zanonia" "no" "yes" "herb" "Tradescantia_zanonia"
"Euterpe_edulis" "no" "yes" "tree" "Euterpe_edulis"
"Thrinax_parviflora" "no" "no" "tree" "Thrinax_parviflora"
"Sabal_palmetto" "no" "yes" "tree" "Sabal_palmetto"
"Lilium_bulbiferum" "no" "no" "herb" "Lilium_bulbiferum"
"Lilium_formosanum" "no" "yes" "herb" "Lilium_formosanum"
"Lilium_candidum" "no" "no" "herb" "Lilium_candidum"
"Wurmbea_dioica" "no" "yes" "herb" "Wurmbea_dioica"
"Evodianthus_funifer" "no" "no" "herb" "Evodianthus_funifer"
"Barbacenia_flava" "no" "no" "herb" "Barbacenia_flava"
"Narthecium_asiaticum" "no" "yes" "herb" "Narthecium_asiaticum"
"Xanthosoma_undipes" "no" "no" "herb" "Xanthosoma_undipes"
"Spathiphyllum_friedrichsthalii" "no" "yes" "herb" "Spathiphyllum_friedrichsthalii"
"Lysichiton_americanus" "no" "no" "herb" "Lysichiton_americanus"
"Potamogeton_amplifolius" "no" "no" "herb" "Potamogeton_amplifolius"
"Potamogeton_nodosus" "no" "no" "herb" "Potamogeton_nodosus"
"Potamogeton_perfoliatus" "no" "no" "herb" "Potamogeton_perfoliatus"
"Potamogeton_richardsonii" "no" "no" "herb" "Potamogeton_richardsonii"
"Potamogeton_gramineus" "no" "no" "herb" "Potamogeton_gramineus"
"Potamogeton_compressus" "no" "no" "herb" "Potamogeton_compressus"
"Potamogeton_obtusifolius" "no" "no" "herb" "Potamogeton_obtusifolius"
"Potamogeton_foliosus" "no" "no" "herb" "Potamogeton_foliosus"
"Potamogeton_confervoides" "no" "no" "herb" "Potamogeton_confervoides"
"Potamogeton_natans" "no" "no" "herb" "Potamogeton_natans"
"Potamogeton_spirillus" "no" "no" "herb" "Potamogeton_spirillus"
"Stuckenia_filiformis" "no" "no" "herb" "Stuckenia_filiformis"
"Stuckenia_pectinata" "no" "no" "herb" "Stuckenia_pectinata"
"Triglochin_palustris" "no" "no" "herb" "Triglochin_palustris"
"Butomus_umbellatus" "no" "yes" "herb" "Butomus_umbellatus"
"Asimina_obovata" "yes" "yes" "shrub" "Asimina_obovata"
"Asimina_pygmaea" "no" "yes" "shrub" "Asimina_pygmaea"
"Asimina_parviflora" "no" "yes" "shrub" "Asimina_parviflora"
"Xylopia_championii" "no" "no" "shrub" "Xylopia_championii"
"Eupomatia_laurina" "no" "no" "tree" "Eupomatia_laurina"
"Magnolia_acuminata" "no" "no" "tree" "Magnolia_acuminata"
"Aniba_rosaeodora" "no" "yes" "tree" "Aniba_rosaeodora"
"Aniba_ferrea" "no" "yes" "tree" "Aniba_ferrea"
"Aniba_panurensis" "no" "yes" "tree" "Aniba_panurensis"
"Aniba_canellila" "no" "yes" "tree" "Aniba_canellila"
"Licaria_guianensis" "no" "yes" "shrub" "Licaria_guianensis"
"Licaria_cannella" "no" "yes" "tree" "Licaria_cannella"
"Clinostemon_maguireanum" "no" "yes" "tree" "Clinostemon_maguireanum"
"Piper_nigrum" "yes" "no" "shrub" "Piper_nigrum"
"Aristolochia_paucinervis" "no" "yes" "herb" "Aristolochia_paucinervis"
"Lactoris_fernandeziana" "yes" "no" "shrub" "Lactoris_fernandeziana"
"Drimys_brasiliensis" "no" "no" "tree" "Drimys_brasiliensis"
"Illicium_parviflorum" "yes" "yes" "shrub" "Illicium_parviflorum"
"Trimenia_moorei" "no" "yes" "shrub" "Trimenia_moorei"
